gene_name	human_ensembl_id	pLI	oe_lof_upper	mis_z	oe_lof	oe_mis
DCT	ENSG00000080166	7.3889e-14	1.174	-0.3481	0.82853	1.0557
CLIC5	ENSG00000112782	1.6209e-06	1.174	0.53943	0.70956	0.90037
CLN8	ENSG00000182372	0.0035591	1.174	-0.76628	0.55874	1.1645
SSPN	ENSG00000123096	0.039646	1.174	0.97114	0.45585	0.75279
FCAMR	ENSG00000162897	4.483e-10	1.174	1.0038	0.78242	0.84033
DSPP	ENSG00000152591	1.1191e-07	1.174	1.1036	0.73864	0.88062
TAS1R1	ENSG00000173662	7.3432e-14	1.174	0.40567	0.82875	0.94834
INPP5J	ENSG00000185133	1.8139e-16	1.175	0.89836	0.85175	0.8718
PRSS27	ENSG00000172382	8.0112e-05	1.175	0.77775	0.65165	0.83401
FDXACB1	ENSG00000255561	4.3999e-10	1.175	0.074114	0.78335	0.98834
MRPL42	ENSG00000198015	0.039597	1.175	-0.20678	0.45605	1.0655
MYO19	ENSG00000141140	1.5479e-34	1.175	0.1839	0.93635	0.97796
PAQR7	ENSG00000182749	0.00028797	1.175	0.95145	0.62574	0.81705
DPCD	ENSG00000166171	0.00028791	1.175	0.27924	0.62577	0.92719
SLC26A4	ENSG00000091137	8.989799999999999e-22	1.175	-2.0111	0.88638	1.2785
ALG2	ENSG00000119523	8.0497e-05	1.175	-0.079009	0.65114	1.0148
MED22	ENSG00000148297	8.0393e-05	1.175	0.37048	0.65128	0.90622
FMO4	ENSG00000076258	1.0592e-10	1.175	0.43679	0.79252	0.9287
NUDT17	ENSG00000186364	1.1109e-07	1.175	-0.73016	0.73915	1.1542
GPATCH11	ENSG00000152133	1.1151e-07	1.175	0.012002	0.73889	0.99692
MED29	ENSG00000063322	0.0010191	1.175	-0.32516	0.59549	1.081
NPHS2	ENSG00000116218	7.2218e-09	1.175	0.68612	0.76304	0.86395
CD320	ENSG00000167775	0.003525	1.176	0.24351	0.56008	0.94727
C12orf10	ENSG00000139637	4.3496e-10	1.176	-0.27811	0.78393	1.0521
IGFL3	ENSG00000188624	0.012036	1.176	0.14723	0.5148	0.95065
CYP1B1	ENSG00000138061	2.2024e-05	1.176	-0.74831	0.67391	1.118
CCDC126	ENSG00000169193	0.11918	1.176	0.55998	0.37602	0.81757
C6orf203	ENSG00000130349	0.0010125	1.176	-0.1668	0.59633	1.0409
ADAM2	ENSG00000104755	1.8889e-22	1.176	-0.65123	0.89048	1.0943
FRMPD2	ENSG00000170324	1.5123e-32	1.177	-0.74983	0.93178	1.088
CLDN1	ENSG00000163347	0.0010103	1.177	0.032293	0.59661	0.99177
CHMP1A	ENSG00000131165	0.00028502	1.177	0.75968	0.62695	0.80955
RANBP3L	ENSG00000164188	7.8033e-16	1.177	0.42598	0.84805	0.92305
TMLHE	ENSG00000185973	7.9575e-05	1.177	0.63746	0.65238	0.84425
UTP11L	ENSG00000183520	1.0932e-07	1.177	0.42071	0.74026	0.90105
MDH1B	ENSG00000138400	6.8732e-14	1.177	0.44767	0.83109	0.92541
HELT	ENSG00000187821	0.0010075	1.177	-0.22658	0.59695	1.0462
TRIM55	ENSG00000147573	6.9041e-14	1.177	-0.069869	0.83093	1.0113
GBP7	ENSG00000213512	1.5462e-14	1.177	-0.24886	0.83726	1.0389
CEBPA	ENSG00000245848	0.55365	1.177	0.56836	0.0	0.82844
C16orf78	ENSG00000166152	5.9448e-06	1.177	0.0056519	0.69386	0.99872
CCNB2	ENSG00000157456	5.7407e-12	1.177	0.071429	0.81005	0.98613
BLOC1S2	ENSG00000196072	0.011948	1.178	1.0031	0.51591	0.67261
C16orf93	ENSG00000196118	2.7592e-08	1.178	0.0041871	0.75378	0.99916
CCDC173	ENSG00000154479	3.4215e-15	1.178	0.24305	0.84339	0.95758
LIPG	ENSG00000101670	1.0165e-10	1.178	0.85726	0.79443	0.86042
NOP16	ENSG00000048162	0.011953	1.178	0.49394	0.51585	0.88091
CHST9	ENSG00000154080	6.9512e-09	1.178	-0.034401	0.76526	1.0065
NDUFA1	ENSG00000125356	0.55315	1.178	0.96306	0.0	0.49197
NSMCE1	ENSG00000169189	2.1753e-05	1.178	0.55777	0.67513	0.87626
TTLL13	ENSG00000213471	5.6537e-12	1.178	0.70829	0.81067	0.87959
SLC46A3	ENSG00000139508	6.9222e-09	1.179	0.48539	0.76551	0.91281
CCDC89	ENSG00000179071	7.8532e-05	1.179	0.05612	0.6538	0.98908
IL17F	ENSG00000112116	0.039165	1.179	-0.15973	0.45787	1.0453
RAD51AP2	ENSG00000214842	7.9703e-20	1.179	-0.055412	0.8779	1.0066
UBL4A	ENSG00000102178	0.29855	1.179	0.70403	0.25238	0.73199
CTBS	ENSG00000117151	1.0768e-07	1.179	0.65932	0.7413	0.87094
ZCCHC3	ENSG00000177764	0.011938	1.179	1.41	0.51604	0.68995
STXBP6	ENSG00000168952	7.8743e-05	1.179	0.71116	0.65351	0.81379
CXCL1	ENSG00000163739	0.11845	1.179	0.015312	0.37717	0.9945
OR52I1	ENSG00000232268	0.11857	1.179	-0.84338	0.37698	1.1815
CXCL12	ENSG00000107562	0.11851	1.179	-0.25288	0.37707	1.0793
GOLGA6C	ENSG00000167195	0.001001	1.179	-1.1057	0.59779	1.2852
NANOS3	ENSG00000187556	0.039203	1.179	1.3535	0.45771	0.65698
CLRN3	ENSG00000180745	0.039218	1.179	-0.53825	0.45765	1.1344
GTF3C6	ENSG00000155115	0.00028269	1.179	0.42553	0.62792	0.88613
ACOT9	ENSG00000123130	6.8017e-09	1.18	0.70195	0.76653	0.84838
ISM2	ENSG00000100593	2.3337e-11	1.18	0.34647	0.80429	0.94588
FOXR1	ENSG00000176302	1.551e-06	1.18	0.15628	0.71319	0.96654
C20orf78	ENSG00000149443	0.55269	1.18	0.93452	0.0	0.69817
TGM7	ENSG00000159495	7.8438e-20	1.18	0.028552	0.87832	0.9961
FANK1	ENSG00000203780	1.6807e-09	1.18	0.55459	0.77718	0.88818
MARVELD2	ENSG00000152939	1.2584e-12	1.18	0.19715	0.81956	0.96888
ZNF354C	ENSG00000177932	4.108e-10	1.18	0.33554	0.78678	0.94456
COTL1	ENSG00000103187	0.039077	1.18	-0.12523	0.45825	1.0357
ASAH1	ENSG00000104763	1.2588e-12	1.18	-2.2082	0.81955	1.4207
BCMO1	ENSG00000135697	5.5008e-12	1.18	-0.89838	0.8118	1.1455
UGT2A1	ENSG00000270386	2.9014e-13	1.18	-1.7738	0.82616	1.2636
SQRDL	ENSG00000137767	4.1314e-10	1.18	0.53194	0.7865	0.90506
STK19	ENSG00000204344	6.7428e-09	1.181	0.23642	0.76704	0.95471
METTL2B	ENSG00000165055	1.6691e-09	1.181	0.10295	0.77756	0.97977
NT5E	ENSG00000135318	2.2881e-11	1.181	0.60379	0.80515	0.90523
EEFSEC	ENSG00000132394	2.6975e-08	1.181	0.63453	0.75521	0.90574
SLC15A5	ENSG00000188991	1.6745e-09	1.181	0.90756	0.77738	0.84393
ABHD3	ENSG00000158201	1.6717e-09	1.181	0.56823	0.77747	0.88942
ENPP6	ENSG00000164303	6.7521e-09	1.181	0.31092	0.76696	0.94679
HEPHL1	ENSG00000181333	1.1459e-34	1.181	0.18383	0.94174	0.97947
CUZD1	ENSG00000138161	2.2917e-11	1.181	0.5796	0.80508	0.90825
ZNF404	ENSG00000176222	2.6828e-08	1.181	0.992	0.75556	0.83624
KRTAP1-3	ENSG00000221880	0.11801	1.181	0.14538	0.37787	0.95868
OAF	ENSG00000184232	0.0034624	1.181	0.73876	0.56258	0.83353
PTPRH	ENSG00000080031	1.0298e-36	1.182	-0.79323	0.94787	1.0873
ASPN	ENSG00000106819	1.0389e-07	1.182	0.74621	0.74378	0.85017
FAM71F1	ENSG00000135248	1.0457e-07	1.182	0.78192	0.74333	0.83819
PCDHGA7	ENSG00000253537	1.2273e-12	1.182	-0.30641	0.82054	1.0362
IL13RA2	ENSG00000123496	4.021e-07	1.182	0.76001	0.72974	0.81506
LURAP1	ENSG00000171357	0.011822	1.182	0.34323	0.51752	0.91726
EFCC1	ENSG00000114654	1.0453e-07	1.182	0.7225	0.74335	0.87685
SSUH2	ENSG00000125046	3.9939e-10	1.182	-0.44139	0.78819	1.0844
EIF1AY	ENSG00000198692	0.55208	1.182	1.0308	0.0	0.2952
SEL1L2	ENSG00000101251	7.3382e-20	1.182	0.2668	0.8801	0.95605
TMEM179B	ENSG00000185475	0.00098906	1.182	-0.8429	0.59933	1.2173
TXNDC17	ENSG00000129235	0.038897	1.182	0.15999	0.45902	0.94486
EFCAB1	ENSG00000034239	0.00027724	1.183	0.069923	0.63022	0.9808
PNLIPRP2	ENSG00000165862	3.9766e-10	1.183	0.21718	0.78841	0.95982
C6orf10	ENSG00000204296	1.4756e-16	1.183	1.4924	0.85806	0.74813
FARP2	ENSG00000006607	4.6425e-36	1.183	-0.33077	0.94703	1.0375
TAPBP	ENSG00000231925	6.6044e-09	1.183	0.76421	0.76825	0.87478
KLRG1	ENSG00000139187	0.0034459	1.183	0.78274	0.56325	0.7733
OR6A2	ENSG00000184933	0.11773	1.183	-1.2685	0.37832	1.2728
SRCRB4D	ENSG00000146700	5.1832e-12	1.183	0.68081	0.81425	0.89313
CALY	ENSG00000130643	0.038696	1.184	1.2633	0.45989	0.64989
IFIT3	ENSG00000119917	0.11732	1.184	0.7974	0.37897	0.85823
PCDHGA4	ENSG00000262576	2.1897e-11	1.184	0.47799	0.80707	0.94325
BBS4	ENSG00000140463	1.4549e-16	1.184	-0.95574	0.85849	1.1675
ALOX15B	ENSG00000179593	1.4819e-18	1.184	0.2723	0.87321	0.9616
METTL6	ENSG00000206562	2.1044e-05	1.184	0.7045	0.67841	0.83466
NINJ1	ENSG00000131669	0.11745	1.184	1.0111	0.37876	0.71115
RASD1	ENSG00000108551	0.038736	1.184	0.37351	0.45971	0.92029
TRMT10A	ENSG00000145331	3.8911e-10	1.184	0.43568	0.7895	0.90926
C8A	ENSG00000157131	6.5536e-16	1.184	-1.0735	0.85358	1.1694
C2orf48	ENSG00000163009	0.2964	1.185	0.34938	0.25392	0.89656
PNLIPRP3	ENSG00000203837	2.1705e-11	1.185	-0.058555	0.80746	1.0105
EID2	ENSG00000176396	0.29648	1.185	0.79577	0.25387	0.79701
LMAN1L	ENSG00000140506	2.6071e-13	1.185	0.97191	0.83013	0.84388
TGM2	ENSG00000198959	6.8118e-18	1.185	0.53569	0.86874	0.92741
SPINK4	ENSG00000122711	0.29634	1.186	0.34169	0.25396	0.86069
MPC1	ENSG00000060762	0.038495	1.186	1.0724	0.46076	0.62329
STYK1	ENSG00000060140	9.1009e-11	1.186	0.030223	0.79959	0.99448
ARMCX6	ENSG00000198960	0.11709	1.186	-0.9364	0.37934	1.2848
TK2	ENSG00000166548	3.9054e-07	1.186	0.15251	0.73195	0.96426
HFE	ENSG00000010704	2.5587e-08	1.186	0.63347	0.75856	0.87052
EIF1AD	ENSG00000175376	0.0034032	1.186	0.51928	0.565	0.84766
SGCZ	ENSG00000185053	6.4001e-09	1.186	-1.0185	0.77008	1.2236
CYP2R1	ENSG00000186104	3.793e-10	1.186	0.48098	0.79077	0.91751
RAP2C	ENSG00000123728	0.29631	1.186	1.7292	0.25399	0.377
GPR157	ENSG00000180758	0.00097453	1.186	-0.063648	0.60123	1.0126
HIBCH	ENSG00000198130	2.5766e-13	1.186	0.29304	0.83057	0.94164
ABCA8	ENSG00000141338	1.6089999999999998e-52	1.186	-0.18814	0.9845	1.0186
ACD	ENSG00000102977	1.1148e-12	1.187	-0.48611	0.8243	1.0764
PDE6B	ENSG00000133256	2.6155e-27	1.187	-0.79771	0.92018	1.0984
TAC3	ENSG00000166863	0.01165	1.187	0.68962	0.51977	0.76064
THUMPD2	ENSG00000138050	1.5442e-09	1.187	-0.61705	0.78175	1.1127
C11orf48	ENSG00000162194	2.0614e-05	1.187	-0.16777	0.68045	1.0394
WDR31	ENSG00000148225	1.5482e-09	1.187	0.66114	0.78161	0.8689
ADAT1	ENSG00000065457	2.5388e-13	1.187	-1.4665	0.83113	1.249
C1orf35	ENSG00000143793	7.568e-05	1.187	0.27397	0.6578	0.93671
CNTLN	ENSG00000044459	3.9521e-49	1.187	-2.3678	0.97974	1.2572
C7orf73	ENSG00000243317	0.55075	1.187	0.86294	0.0	0.47227
OR2B6	ENSG00000124657	0.0034004	1.187	0.15025	0.56512	0.96703
CAPZA3	ENSG00000177938	0.00097097	1.187	-0.25748	0.60171	1.0582
PSPH	ENSG00000146733	0.00096703	1.188	0.77719	0.60223	0.80477
USP41	ENSG00000161133	2.0796e-11	1.188	0.59577	0.80933	0.87908
CLEC2B	ENSG00000110852	0.011614	1.188	0.60101	0.52025	0.80841
GAS8	ENSG00000141013	1.0876e-12	1.188	-0.91869	0.82527	1.1506
ATP7B	ENSG00000123191	4.8001e-30	1.188	-0.88091	0.93189	1.0869
ZNF554	ENSG00000172006	3.7213e-10	1.188	0.13428	0.79173	0.97775
CYP8B1	ENSG00000180432	2.0558e-05	1.188	0.071192	0.68073	0.98806
TMEM109	ENSG00000110108	7.507e-05	1.188	0.48873	0.65868	0.88475
HSD11B1L	ENSG00000167733	0.00027093	1.188	1.4614	0.63294	0.70409
GDF9	ENSG00000164404	5.5222e-06	1.188	-0.56576	0.70053	1.1039
MCOLN2	ENSG00000153898	1.2502e-14	1.188	0.527	0.84451	0.91492
PTPLAD2	ENSG00000188921	2.0561e-05	1.188	-0.46605	0.68071	1.1213
ALG3	ENSG00000214160	3.6777e-10	1.188	-0.31675	0.79232	1.0564
HYAL3	ENSG00000186792	3.8292e-07	1.188	1.1018	0.73343	0.80562
SIT1	ENSG00000137078	0.00096493	1.188	1.168	0.60251	0.69231
PARP11	ENSG00000111224	6.1763e-09	1.189	0.69757	0.77215	0.85555
SLC25A30	ENSG00000174032	6.1722e-09	1.189	0.931	0.77219	0.79784
PRF1	ENSG00000180644	5.4875e-06	1.189	0.016731	0.7011	0.99749
YEATS4	ENSG00000127337	7.464e-05	1.189	2.3907	0.6593	0.37714
PCDHA12	ENSG00000251664	2.4185e-13	1.189	-0.33713	0.83294	1.0392
CD109	ENSG00000156535	2.2706999999999997e-44	1.189	-0.50326	0.97153	1.0529
TMEM40	ENSG00000088726	2.4842e-08	1.189	-0.70382	0.76043	1.1735
PRODH2	ENSG00000250799	2.452e-13	1.189	0.11808	0.83242	0.98142
ATP6V0E2	ENSG00000171130	0.29517	1.189	0.56234	0.25481	0.85029
WDR89	ENSG00000140006	7.4832e-05	1.189	0.88399	0.65902	0.82514
CTD-2410N18.5	ENSG00000272772	0.11635	1.189	1.5405	0.38055	0.36489
PPIH	ENSG00000171960	7.4626e-05	1.189	1.6707	0.65932	0.53591
ABHD16B	ENSG00000183260	7.4371e-05	1.19	0.50876	0.6597	0.91939
AK8	ENSG00000165695	2.0053e-11	1.19	0.7139	0.81093	0.87846
ACBD7	ENSG00000176244	0.11605	1.19	0.03208	0.38103	0.98692
PRKAG3	ENSG00000115592	4.618e-12	1.19	-0.26791	0.81902	1.0449
CLDN22	ENSG00000177300	0.038131	1.19	-0.34107	0.46237	1.09
CMTM7	ENSG00000153551	0.038169	1.19	0.95048	0.4622	0.69856
CENPA	ENSG00000115163	0.011536	1.19	1.7273	0.52128	0.42852
IQCF5	ENSG00000214681	0.011551	1.19	0.70024	0.52108	0.79189
APOA4	ENSG00000110244	5.4536e-06	1.19	-1.2066	0.70167	1.2219
HDDC2	ENSG00000111906	2.0302e-05	1.19	0.089104	0.68196	0.97659
GANC	ENSG00000214013	7.545700000000001e-35	1.191	-0.61847	0.94933	1.0792
SLC2A5	ENSG00000142583	3.5691e-10	1.191	1.5393	0.79382	0.75039
TRDMT1	ENSG00000107614	3.5589e-10	1.191	-0.82171	0.79396	1.1669
PLA2G12B	ENSG00000138308	0.00095391	1.191	0.65449	0.604	0.82805
SFXN3	ENSG00000107819	2.4372e-08	1.191	0.4365	0.76164	0.91087
MUTYH	ENSG00000132781	1.2619e-18	1.191	-0.20721	0.87777	1.033
ZKSCAN3	ENSG00000189298	1.9697e-11	1.191	1.6378	0.81171	0.72962
CYP26A1	ENSG00000095596	8.4269e-11	1.191	0.43488	0.80318	0.92706
PGLYRP3	ENSG00000159527	9.6075e-08	1.191	0.54406	0.74918	0.89135
EPPIN	ENSG00000101448	7.4025e-05	1.191	-0.044297	0.6602	1.0127
EPPIN-WFDC6	ENSG00000249139	7.4025e-05	1.191	-0.044297	0.6602	1.0127
ERAP2	ENSG00000164308	1.0027999999999999e-28	1.191	-0.07147	0.92859	1.009
DDX49	ENSG00000105671	5.2505e-14	1.191	0.96449	0.84068	0.84552
APOM	ENSG00000204444	0.00095567	1.191	0.93513	0.60376	0.7459
RNF39	ENSG00000204618	2.0207e-05	1.191	1.3357	0.68243	0.74575
DGUOK	ENSG00000114956	3.7122e-07	1.192	-0.46784	0.73578	1.1079
MAP9	ENSG00000164114	2.5444e-15	1.192	0.15515	0.85315	0.9746
RPF1	ENSG00000117133	2.3931e-08	1.192	0.19546	0.7628	0.96058
EFCAB7	ENSG00000203965	2.6115e-17	1.192	1.0339	0.86941	0.83364
EFNA2	ENSG00000099617	0.038008	1.192	1.2495	0.46291	0.66078
AWAT1	ENSG00000204195	0.00026614	1.192	0.2557	0.63506	0.93592
OPRD1	ENSG00000116329	0.0033233	1.193	1.5847	0.56836	0.71079
BTN3A1	ENSG00000026950	5.8712e-09	1.193	0.18482	0.77511	0.96832
IGFBP1	ENSG00000146678	0.00094677	1.193	0.25314	0.60498	0.93828
STARD6	ENSG00000174448	0.00026527	1.193	0.02317	0.63545	0.99407
TSTD2	ENSG00000136925	1.8987e-11	1.193	0.024764	0.81332	0.99582
ANGPTL6	ENSG00000130812	2.3705e-08	1.193	0.5675	0.7634	0.89277
TRAPPC12	ENSG00000171853	5.3624e-16	1.193	0.15978	0.85999	0.97919
SH2D7	ENSG00000183476	2.3722e-08	1.193	0.10167	0.76335	0.98181
FAM163A	ENSG00000143340	0.1155	1.193	0.65644	0.38193	0.82059
RUFY4	ENSG00000188282	5.0653e-14	1.193	-0.065502	0.84197	1.0104
SLAMF8	ENSG00000158714	5.341e-06	1.193	-0.28871	0.70356	1.0639
ANKRD9	ENSG00000156381	0.29363	1.194	1.8977	0.25594	0.51907
C3orf30	ENSG00000163424	5.8545e-09	1.194	0.0034623	0.77527	0.99943
CCDC171	ENSG00000164989	3.035e-47	1.194	-3.3228	0.9816	1.364
CD68	ENSG00000129226	1.4063e-06	1.194	0.36539	0.72129	0.92758
CALHM3	ENSG00000183128	0.003306	1.195	0.34695	0.5691	0.93093
GCOM1	ENSG00000137878	2.3874e-19	1.195	-0.8641	0.88573	1.144
STEAP1	ENSG00000164647	5.27e-06	1.195	0.11895	0.70477	0.9742
SEC22A	ENSG00000121542	1.3936e-06	1.195	0.076753	0.72204	0.98312
ST3GAL6	ENSG00000064225	2.3272e-08	1.195	0.90793	0.76457	0.80674
KCNAB3	ENSG00000170049	2.4251e-17	1.195	0.0055921	0.87165	0.99898
KRT86	ENSG00000170442	3.6139e-07	1.195	-1.2658	0.73781	1.2242
MMRN1	ENSG00000138722	2.0714000000000003e-25	1.195	-1.0984	0.9182	1.123
TCF19	ENSG00000137310	0.00093832	1.195	1.5106	0.60615	0.70467
TSPEAR	ENSG00000175894	2.4371e-17	1.195	-0.95229	0.8715	1.131
ALG14	ENSG00000172339	0.00093727	1.196	0.26589	0.60629	0.93345
SLC5A8	ENSG00000256870	4.9955e-16	1.196	0.2848	0.86228	0.95585
ARL15	ENSG00000185305	0.00093584	1.196	0.71498	0.60649	0.80113
RASA2	ENSG00000155903	7.391e-31	1.196	1.8783	0.9405	0.74113
RASA4	ENSG00000105808	0.115	1.196	0.83568	0.38276	0.69704
TCP10L	ENSG00000242220	0.0032979	1.196	0.064057	0.56945	0.98381
IL36B	ENSG00000136696	0.0032983	1.196	-0.18608	0.56943	1.0549
C17orf112	ENSG00000227011	0.29303	1.196	1.2334	0.25638	0.53054
C17orf51	ENSG00000212719	0.11492	1.196	0.66296	0.38289	0.8252
C10orf82	ENSG00000165863	0.011358	1.196	0.46122	0.52369	0.86094
MRPL22	ENSG00000082515	1.3883e-06	1.196	0.27286	0.72236	0.93033
CA5B	ENSG00000169239	0.00026112	1.196	-0.048138	0.63733	1.0122
SLC39A2	ENSG00000165794	7.204e-05	1.196	-0.46682	0.66316	1.1014
DSC3	ENSG00000134762	2.2847999999999998e-21	1.196	-0.64799	0.89818	1.0827
PTCHD3	ENSG00000182077	3.3312e-10	1.196	-0.35995	0.79727	1.0479
PMCH	ENSG00000183395	0.11486	1.196	0.2727	0.38299	0.91412
ZNF575	ENSG00000176472	0.11491	1.196	0.87521	0.3829	0.80738
CBWD1	ENSG00000172785	1.369e-06	1.197	-1.9954	0.72352	1.4752
DHRSX	ENSG00000169084	0.00026081	1.197	0.24276	0.63747	0.94911
ARL4D	ENSG00000175906	0.03757	1.197	1.9838	0.46488	0.51199
SLC25A51	ENSG00000122696	0.0032782	1.197	1.9989	0.5703	0.56252
NDUFAF6	ENSG00000156170	9.0736e-08	1.197	0.57244	0.75313	0.87365
DYDC1	ENSG00000170788	0.00026003	1.197	0.2082	0.63783	0.93698
TMCO3	ENSG00000150403	4.936e-16	1.197	0.30802	0.86266	0.95706
EPPK1	ENSG00000227184	1.0343e-37	1.198	-3.0402	0.96238	1.2252
ALKBH2	ENSG00000189046	0.0032745	1.198	0.3623	0.57046	0.91802
SLC12A3	ENSG00000070915	3.0323999999999997e-32	1.198	-0.93606	0.94621	1.1061
C10orf11	ENSG00000148655	0.0002589	1.198	-0.11529	0.63835	1.0311
GZMM	ENSG00000197540	0.011275	1.198	-0.073334	0.52482	1.0161
PEX2	ENSG00000164751	0.00025931	1.198	0.047268	0.63816	0.98927
FITM1	ENSG00000139914	0.00025936	1.198	0.070228	0.63814	0.98554
RNF168	ENSG00000163961	2.0514e-13	1.198	-0.3919	0.83912	1.0637
ARRDC1	ENSG00000197070	1.3606e-06	1.198	-0.11644	0.72403	1.0203
NCF4	ENSG00000100365	9.0248e-08	1.198	-0.22728	0.75351	1.0446
ZNF225	ENSG00000256294	0.11448	1.198	0.065596	0.38363	0.99044
SHISA4	ENSG00000198892	0.0009272	1.198	0.94296	0.6077	0.74544
ZNF385C	ENSG00000187595	1.3511e-06	1.199	0.7683	0.7246	0.8639
FXYD2	ENSG00000137731	0.11431	1.199	-0.15622	0.38391	1.0648
C19orf54	ENSG00000188493	5.1312e-06	1.199	0.045867	0.7072	0.99061
MCHR2	ENSG00000152034	5.1594e-06	1.199	0.51172	0.7067	0.89277
FAHD2A	ENSG00000115042	1.3522e-06	1.199	0.32764	0.72454	0.93193
CHPF2	ENSG00000033100	2.1868e-17	1.199	-0.5164	0.8748	1.0659
CXCL14	ENSG00000145824	0.037302	1.2	0.68773	0.46611	0.76121
ENKUR	ENSG00000151023	7.0721e-05	1.2	-0.022134	0.66518	1.0053
MMP21	ENSG00000154485	1.3213e-09	1.2	1.3367	0.79015	0.78449
NUBP2	ENSG00000095906	0.00092127	1.2	-0.072087	0.60854	1.0152
OR10P1	ENSG00000175398	0.11405	1.2	-0.35976	0.38435	1.0744
SOX7	ENSG00000258724	3.4831e-07	1.2	-1.5708	0.74059	1.2637
CTD-2192J16.24	ENSG00000269590	0.00092057	1.2	0.82303	0.60864	0.79087
GNG11	ENSG00000127920	0.54709	1.2	0.54755	0.0	0.73568
SLC39A5	ENSG00000139540	7.3793e-11	1.2	0.23844	0.80939	0.96261
CYP2A6	ENSG00000255974	5.401e-09	1.201	-1.5343	0.77997	1.2492
NDUFAF5	ENSG00000101247	3.1138e-10	1.201	0.15034	0.80065	0.96954
BSPRY	ENSG00000119411	1.3336e-06	1.201	0.12922	0.72569	0.97516
CTSF	ENSG00000174080	1.9431e-13	1.201	0.74413	0.84117	0.86759
KLHDC8A	ENSG00000162873	3.4494e-07	1.201	0.89573	0.74133	0.83694
HMGCS2	ENSG00000134240	4.3354e-14	1.201	-0.19124	0.84758	1.0322
ZNF37A	ENSG00000075407	1.3004e-09	1.201	-0.082198	0.79101	1.0137
TNNI1	ENSG00000159173	7.0162e-05	1.201	1.6488	0.66605	0.58682
AC006946.15	ENSG00000235478	0.11381	1.201	0.7546	0.38475	0.67122
PTX3	ENSG00000163661	6.9827e-05	1.202	-0.049356	0.66657	1.0101
C1orf141	ENSG00000203963	0.0032311	1.202	0.051813	0.57236	0.98942
IMMP2L	ENSG00000184903	0.011165	1.202	0.17321	0.52635	0.95147
HEATR4	ENSG00000187105	1.3711e-29	1.202	0.32919	0.94008	0.96141
AMPD1	ENSG00000116748	1.9098999999999998e-21	1.202	-0.45701	0.90289	1.0623
SCOC	ENSG00000153130	0.011142	1.202	0.48514	0.52667	0.85153
LRTOMT	ENSG00000184154	6.9976e-05	1.202	1.093	0.66634	0.76258
PCDHB8	ENSG00000120322	1.3226e-06	1.202	-1.7466	0.72638	1.237
SYPL2	ENSG00000143028	1.8911e-05	1.202	0.39786	0.68903	0.91211
BRF2	ENSG00000104221	3.7481e-12	1.203	-0.023866	0.8277	1.0042
BNIPL	ENSG00000163141	3.0268e-10	1.203	0.91898	0.80208	0.81988
MRPL12	ENSG00000262814	0.0032204	1.203	0.27867	0.57284	0.92828
RPS29	ENSG00000213741	0.29053	1.203	1.0178	0.25824	0.54049
LIPM	ENSG00000173239	3.025e-10	1.203	1.098	0.8021	0.79315
MOBP	ENSG00000168314	0.54623	1.203	0.97266	0.0	0.58828
TCP10	ENSG00000203690	5.0062e-06	1.203	0.13417	0.70944	0.97103
ALG10	ENSG00000139133	1.3151e-06	1.203	-0.028305	0.72684	1.0052
PLEK2	ENSG00000100558	5.2858e-09	1.203	0.82428	0.78123	0.83936
HABP2	ENSG00000148702	1.9637e-15	1.204	-1.434	0.86181	1.2279
COL20A1	ENSG00000101203	1.3805999999999999e-40	1.204	-0.45477	0.97448	1.0469
SULT1C4	ENSG00000198075	4.9677e-06	1.204	0.24183	0.71014	0.94524
NAALADL1	ENSG00000168060	1.8164e-21	1.204	0.16993	0.90422	0.97764
LDHB	ENSG00000111716	4.9734e-06	1.204	0.91278	0.71004	0.81055
PCDHA10	ENSG00000250120	4.0942e-14	1.204	-0.75599	0.84965	1.0872
MYL12B	ENSG00000118680	0.11325	1.204	1.7394	0.3857	0.50706
NUDCD2	ENSG00000170584	0.0031978	1.205	0.18089	0.57385	0.94435
MAK	ENSG00000111837	8.626600000000001e-19	1.205	0.40007	0.88874	0.93797
RPE	ENSG00000197713	0.00025152	1.205	0.52132	0.64181	0.87326
THEGL	ENSG00000249693	2.1051e-08	1.205	1.2145	0.77092	0.7751
EFHC1	ENSG00000096093	1.8959e-17	1.205	0.14054	0.87917	0.97908
ANKRD39	ENSG00000213337	0.00090169	1.205	0.18053	0.61136	0.95313
GYPC	ENSG00000136732	0.11297	1.205	-1.3035	0.38619	1.423
MYBBP1A	ENSG00000132382	5.2346e-42	1.206	-2.7481	0.97946	1.2729
RASSF1	ENSG00000068028	4.9255e-06	1.206	0.33781	0.71092	0.93286
NFYB	ENSG00000120837	0.00024967	1.206	2.1836	0.6427	0.41202
TMUB1	ENSG00000164897	0.036741	1.206	0.80335	0.46871	0.80068
CEACAM8	ENSG00000124469	3.3021e-07	1.206	-0.56521	0.74463	1.1131
CLEC9A	ENSG00000197992	1.8488e-05	1.206	0.50392	0.69129	0.87362
P2RX1	ENSG00000108405	6.7632e-11	1.206	1.0221	0.81349	0.815
TGM4	ENSG00000163810	3.796e-20	1.206	0.013529	0.8981	0.99806
FUT7	ENSG00000180549	1.29e-06	1.206	0.55741	0.72845	0.89947
HOXD1	ENSG00000128645	0.0031828	1.206	-0.036206	0.57452	1.0078
